,l_margine,r_margine,b_margine,depth,width,group_index
M1,2.53,2.39,1.91,3.1,3.9,6
M2,1.42,2.87,0.05,5.86,5.07,8
M3,1.14,2.06,0.67,5.68,3.49,6
M4,2.62,2.31,1.01,4.35,3.14,3
M5,1.09,2.54,1.16,4.57,4.88,1
M6,1.15,2.3,1.11,5.48,3.31,7
M7,1.65,2.48,1.64,5.36,5.59,6
M8,1.77,2.51,0.47,3.0,3.84,1
M9,1.58,1.27,0.3,5.61,4.38,8
M10,2.78,2.35,0.66,4.58,5.1,1
M11,2.67,2.68,0.86,5.1,5.0,7
M12,1.21,2.62,1.46,3.99,5.12,8
M13,1.58,2.22,0.94,3.34,4.84,7
M14,2.22,2.84,0.23,4.02,3.43,7
M15,2.62,1.34,1.54,5.43,4.75,7
M16,1.08,2.79,0.4,3.73,5.73,2
M17,1.44,1.73,1.02,5.86,5.69,6
M18,2.2,1.18,0.31,3.89,4.02,2
M19,2.92,2.75,0.15,5.62,3.07,8
M20,2.87,2.63,1.64,5.02,3.67,1
M21,2.5,2.06,1.32,3.42,5.96,3
M22,2.93,1.03,0.36,4.74,5.85,2
M23,1.14,1.11,1.29,3.74,4.79,2
M24,2.27,2.23,0.7,3.55,3.46,5
M25,1.82,2.88,1.18,3.08,3.94,1
M26,2.67,1.69,1.54,3.97,5.28,1
M27,2.94,2.95,0.86,3.32,5.3,1
M28,2.89,2.56,1.59,5.87,5.16,4
M29,2.02,1.48,0.24,5.68,5.07,1
M30,1.87,2.51,0.46,4.42,3.27,5
M31,1.45,1.57,1.38,5.02,3.58,7
M32,2.39,1.6,0.18,3.22,3.25,7
M33,1.23,1.96,1.9,3.38,4.78,8
M34,1.12,1.13,0.62,5.53,5.44,5
M35,1.89,2.92,0.58,4.83,5.37,6
M36,1.91,1.38,0.82,4.2,3.35,8
M37,1.07,2.74,0.45,4.34,4.1,7
M38,1.76,2.54,0.41,4.86,5.01,8
M39,2.85,1.53,0.16,5.81,5.66,8
M40,1.66,1.07,1.37,4.04,5.34,8
M41,2.55,1.78,0.41,4.83,5.21,5
M42,2.27,2.84,1.76,5.53,5.99,6
M43,2.96,1.11,0.97,3.06,3.04,6
M44,2.21,2.44,0.78,3.86,4.31,2
M45,2.67,1.78,1.06,4.31,3.95,8
